Home Affairs	Rajnath Singh
External Affairs, Overseas Indian Affairs	Sushma Swaraj
Finance,Corporate Affairs Information & Broadcasting	Arun Jaitley
Urban Development Housing, Urban Poverty Alleviation, Parliamentary Affairs	M Venkaiah Naidu
Road Transport, Highways Shipping	Nitin Jairam Gadkari
Defence	Manohar Parrikar
Railways	Suresh Prabhu
Law & Justice	D.V. Sadananda Gowda
Water Resources, River Development and Ganga Rejuvenation	Uma Bharati
Minority Affairs	Dr Najma A Heptulla
Consumer Affairs, Food and  Public Distribution	Ram Vilas Paswan
Micro, Small and Medium Enterprises	Kalraj Mishra
Women and Child Development	Maneka Gandhi
Chemicals and Fertilizers	Ananthkumar
Communications and Information Technology	Ravi Shankar Prasad
Health and Family Welfare	Jagat Prakash Nadda
Civil Aviation	Ashok Gajapathi Raju Pusapati
Heavy Industries and Public Enterprises	Anant Geete
Food Processing Industries	Harsimrat Kaur Badal
Mines Steel	Narendra Singh Tomar
Rural Development, Panchayati Raj Drinking Water and Sanitation	Chaudhary Birender Singh
Tribal Affairs	Jual Oram
Agriculture	Radha Mohan Singh
Social Justice and Empowerment	Thaawar Chand Gehlot
Human Resource Development	Smriti Zubin Irani
Science and Technology Earth Sciences	Dr Harsh Vardhan
Women and Child Development	Maneka Gandhy
Human Resource Development	Smreete Zubin Irani
